,Make,Model,Year,Mileage,Transmission,Engine,Exterior Color,Interior Color,MPG,Fuel Type,Drive Type,Location (City),Location (State),Style,Condition (Accidents),Options Level,Bed Length,Price
5928,Ford,Escape,2019.0,"21,359",Automatic,,Oxford White,Charcoal Black,23 cty / 30 hwy,Gas,FWD,Louisville,KY,SEL FWD,0 reported accidents,Standard,,"18,987"
5929,Chevrolet,Equinox,2018.0,"73,016",Automatic,,Silver Ice Metallic,Medium Ash Gray,26 cty / 32 hwy,Gas,FWD,Carrollton,GA,Premier with 1LZ FWD,0 reported accidents,Minimal Options,,"14,995"
5930,Toyota,Camry,2015.0,"64,292",Automatic,2.5L Inline-4 Gas,,Unknown,25 cty / 35 hwy,Gas,FWD,Raleigh,NC,XLE I4 Automatic,0 reported accidents,Standard,,"11,500"
5931,,,,,,,,,,,,,,,,,,
5932,Honda,Accord,2017.0,"36,473",Automatic,2.4L Inline-4 Gas,,Black,27 cty / 36 hwy,Gas,FWD,Fredericksburg,VA,EX Sedan CVT,0 reported accidents,Standard,,"17,950"
5933,Honda,Civic,2017.0,"24,745",Automatic,2.0L Inline-4 Gas,,Black,31 cty / 40 hwy,Gas,FWD,Eatontown,NJ,EX Sedan CVT,0 reported accidents,,,"16,299"
5934,Hyundai,Sonata,2007.0,"162,330",Automatic,3.3L V-6 Gas,Ebony Black,Unknown,20 cty / 34 hwy,Gas,FWD,Nashville,IL,Limited Automatic (alt),0 reported accidents,Standard,,"3,973"
5935,Chevrolet,Sonic,2015.0,"72,410",Automatic,1.8L Inline-4 Gas,Silver Ice Metallic,,25 cty / 35 hwy,Gas,FWD,West Jordan,UT,LT Hatch AT,0 reported accidents,Minimal Options,,"5,995"
5936,Acura,ILX,2015.0,"44,469",Automatic,2.0L Inline-4 Gas,,Ebony,24 cty / 35 hwy,Gas,FWD,Naples,FL,Sedan 2.0L Automatic,1 reported accidents,Standard,,"13,327"
5937,Nissan,Versa,2019.0,"31,545",Automatic,1.6L Inline-4 Gas,,Charcoal,31 cty / 39 hwy,Gas,FWD,Eugene,OR,SV Sedan CVT,0 reported accidents,Standard,,"11,896"
5938,Nissan,Sentra,2019.0,"25,581",Automatic,1.8L Inline-4 Gas,,Charcoal,29 cty / 37 hwy,Gas,FWD,Lakewood,CO,SV CVT,0 reported accidents,Well Equipped,,"14,340"
5939,Toyota,Corolla,2011.0,"113,001",Automatic,1.8L Inline-4 Gas,,Bisque,26 cty / 34 hwy,Gas,FWD,Jacksonville,FL,LE Automatic,0 reported accidents,Standard,,"6,491"
5940,Ram ProMaster Cargo,Van,2016.0,"109,998",Automatic,3.6L V-6 Gas,,Gray,N/A cty / N/A hwy,Gas,FWD,Fontana,CA,"1500 Low Roof 118"" WB",1 reported accidents,Standard,,"14,995"
5941,Ford,Mustang,2017.0,"32,605",Manual,,Oxford White,Ebony,21 cty / 30 hwy,Gas,RWD,Fontana,CA,EcoBoost Fastback,0 reported accidents,Standard,,"21,995"
5942,,,,,,,,,,,,,,,,,,
5943,Nissan,Frontier,2017.0,"35,241",Automatic,4.0L V-6 Gas,Glacier White,Steel,15 cty / 21 hwy,Gas,4WD,Fontana,CA,2017.5 S Crew Cab 4WD Auto,0 reported accidents,Well Equipped,Short Bed,"21,495"
5944,Ram,1500,2017.0,"22,308",Automatic,5.7L V-8 Gas,,Black,16 cty / 23 hwy,Gas,4WD,Fontana,CA,"Sport Quad Cab 6\'4"" Box 4WD",0 reported accidents,Standard,Standard Bed,"32,995"
5945,GMC,Terrain,2016.0,"83,188",Automatic,3.6L V-6 Gas,Slate Blue Metallic,Light Titanium,22 cty / 32 hwy,Gas,FWD,Fontana,CA,SLT FWD,0 reported accidents,Standard,,"12,995"
5946,Toyota,Tacoma,2019.0,"8,361",Automatic,3.5L V-6 Gas,,Cement Gray,19 cty / 24 hwy,Gas,RWD,Fontana,CA,,0 reported accidents,Standard,Short Bed,"35,895"
5947,,,,,,,,,,Gas,FWD,,,,,,,
5948,Acura,MDX,2007.0,"184,311",Automatic,3.7L V-6 Gas,,Gray,17 cty / 22 hwy,Gas,AWD,Greensboro,NC,,0 reported accidents,Standard,,"5,800"
5949,Nissan,Versa,2015.0,"171,049",Manual,1.6L Inline-4 Gas,Silver,Unknown,27 cty / 36 hwy,Gas,FWD,Greensboro,NC,Note 1.6 S Manual,2 reported accidents,Standard,,"4,500"
5950,Jeep,Wrangler,2013.0,"88,042",Automatic,3.6L V-6 Gas,Black,Black Interior,16 cty / 21 hwy,Gas,4WD,Olathe,KS,Unlimited Sport,0 reported accidents,Standard,,"23,995"
5951,Ford,Explorer,2017.0,"55,310",Automatic,3.5L V-6 Gas Turbocharged,Blue Jeans Metallic,Medium Soft Ceramic,16 cty / 22 hwy,Gas,4WD,Langhorne,PA,Platinum 4WD,0 reported accidents,Minimal Options,,"30,498"
5952,Ford,Edge,2019.0,"37,533",Automatic,,,Ebony,21 cty / 28 hwy,Gas,AWD,Langhorne,PA,Titanium AWD,0 reported accidents,Fully Loaded,,"27,998"
5953,Ford Transit Cargo,Van,2018.0,"14,173",Automatic,3.7L V-6 Gas,Oxford White,Charcoal,N/A cty / N/A hwy,Gas,RWD,Langhorne,PA,,0 reported accidents,,,"25,498"
5954,Mercedes-Benz,GLA,2018.0,"13,590",Automatic,,,Black,23 cty / 31 hwy,Gas,AWD,Perkasie,PA,GLA 250 4MATIC,0 reported accidents,Standard,,"27,501"
5955,BMW 7,Series,2017.0,"40,240",Automatic,,,Cognac,19 cty / 28 hwy,Gas,AWD,Perkasie,PA,740i xDrive,0 reported accidents,Standard,,"36,900"
5956,Volvo,S60,2020.0,"16,616",Automatic,,Denim Blue Metallic,Charcoal,21 cty / 32 hwy,Gas,AWD,Perkasie,PA,T6 Momentum AWD,0 reported accidents,Standard,,"31,500"
5957,BMW,X1,2016.0,"35,415",Automatic,,,Mocha,22 cty / 32 hwy,Gas,AWD,Perkasie,PA,xDrive28i AWD,0 reported accidents,Standard,,"22,800"
5958,BMW 4,Series,2018.0,"34,983",Automatic,,,Cognac/Dark Brown,21 cty / 31 hwy,Gas,AWD,Perkasie,PA,440i xDrive Coupe,0 reported accidents,Standard,,"37,000"
5959,BMW 5,Series,2017.0,"27,700",Automatic,,,,18 cty / 26 hwy,Gas,AWD,Perkasie,PA,535i xDrive Gran Turismo,0 reported accidents,Standard,,"32,991"
5960,Dodge,Charger,2020.0,"3,769",Automatic,3.6L V-6 Gas,,Black,19 cty / 30 hwy,Gas,RWD,Olathe,KS,SXT RWD,0 reported accidents,Fully Loaded,,"25,799"
5961,Ram,1500,2020.0,"3,308",Automatic,3.6L V-6 Gas,,Black,19 cty / 24 hwy,Gas,4WD,Olathe,KS,"Rebel Quad Cab 6\'4"" Box 4WD",0 reported accidents,Well Equipped,Standard Bed,"41,899"
5962,Mercedes-Benz,GLC,2019.0,"14,710",Automatic,,,Black,24 cty / 27 hwy,Gas,AWD,Perkasie,PA,GLC 350e 4MATIC,0 reported accidents,Standard,,"39,000"
5963,MINI,Clubman,2017.0,"27,499",Automatic,,,Indigo Blue,22 cty / 32 hwy,Gas,AWD,Perkasie,PA,ALL4,0 reported accidents,,,"18,300"
5964,BMW,X5,2016.0,"35,701",Automatic,,,Black,18 cty / 24 hwy,Gas,AWD,Perkasie,PA,xDrive35i AWD,0 reported accidents,Standard,,"29,991"
5965,Volvo,XC90,2020.0,"13,022",Automatic,,Onyx Black Metallic,Cream,18 cty / 26 hwy,Gas,AWD,Perkasie,PA,T6 Momentum 7 Passenger AWD,0 reported accidents,Standard,,"47,000"
5966,Acura,RDX,2019.0,"14,674",Automatic,,,Beige,21 cty / 27 hwy,Gas,AWD,Olathe,KS,,0 reported accidents,,,"36,999"
5967,Hyundai,Tucson,2017.0,"28,677",Automatic,2.0L Inline-4 Gas,Dazzling White,Gray,23 cty / 30 hwy,Gas,FWD,West Palm Beach,FL,SE FWD,0 reported accidents,Fully Loaded,,"15,367"
5968,Mercedes-Benz,E-Class,2005.0,"143,210",Automatic,,Gold,Stone,27 cty / 37 hwy,Diesel,RWD,Virgina Beach,VA,E 320 CDI Sedan RWD,0 reported accidents,Standard,,"8,995"
5969,,,,,,,,,,,FWD,,,,,,,
5970,Ram ProMaster Cargo,Van,2016.0,"109,998",Automatic,3.6L V-6 Gas,,Gray,N/A cty / N/A hwy,Gas,FWD,Fontana,CA,"1500 Low Roof 118"" WB",1 reported accidents,Standard,,"14,995"
5971,Ford,Mustang,2017.0,"32,605",Manual,,Oxford White,Ebony,21 cty / 30 hwy,Gas,RWD,Fontana,CA,EcoBoost Fastback,0 reported accidents,Standard,,"21,995"
5972,,,,,,,,,,,,,,,,,,
5973,Nissan,Frontier,2017.0,"35,241",Automatic,4.0L V-6 Gas,Glacier White,Steel,15 cty / 21 hwy,Gas,4WD,Fontana,CA,2017.5 S Crew Cab 4WD Auto,0 reported accidents,Well Equipped,Short Bed,"21,495"
5974,Ram,1500,2017.0,"22,308",Automatic,5.7L V-8 Gas,,Black,16 cty / 23 hwy,Gas,4WD,Fontana,CA,"Sport Quad Cab 6\'4"" Box 4WD",0 reported accidents,Standard,Standard Bed,"32,995"
5975,GMC,Terrain,2016.0,"83,188",Automatic,3.6L V-6 Gas,Slate Blue Metallic,Light Titanium,22 cty / 32 hwy,Gas,FWD,Fontana,CA,SLT FWD,0 reported accidents,Standard,,"12,995"
5976,Toyota,Tacoma,2019.0,"8,361",Automatic,3.5L V-6 Gas,,Cement Gray,19 cty / 24 hwy,Gas,RWD,Fontana,CA,,0 reported accidents,Standard,Short Bed,"35,895"
5977,,,,,,,,,,Gas,FWD,,,,,,,
5978,Acura,MDX,2007.0,"184,311",Automatic,3.7L V-6 Gas,,Gray,17 cty / 22 hwy,Gas,AWD,Greensboro,NC,,0 reported accidents,Standard,,"5,800"
5979,Nissan,Versa,2015.0,"171,049",Manual,1.6L Inline-4 Gas,Silver,Unknown,27 cty / 36 hwy,Gas,FWD,Greensboro,NC,Note 1.6 S Manual,2 reported accidents,Standard,,"4,500"
5980,Jeep,Wrangler,2013.0,"88,042",Automatic,3.6L V-6 Gas,Black,Black Interior,16 cty / 21 hwy,Gas,4WD,Olathe,KS,Unlimited Sport,0 reported accidents,Standard,,"23,995"
5981,Ford,Explorer,2017.0,"55,310",Automatic,3.5L V-6 Gas Turbocharged,Blue Jeans Metallic,Medium Soft Ceramic,16 cty / 22 hwy,Gas,4WD,Langhorne,PA,Platinum 4WD,0 reported accidents,Minimal Options,,"30,498"
5982,Ford,Edge,2019.0,"37,533",Automatic,,,Ebony,21 cty / 28 hwy,Gas,AWD,Langhorne,PA,Titanium AWD,0 reported accidents,Fully Loaded,,"27,998"
5983,Ford Transit Cargo,Van,2018.0,"14,173",Automatic,3.7L V-6 Gas,Oxford White,Charcoal,N/A cty / N/A hwy,Gas,RWD,Langhorne,PA,,0 reported accidents,,,"25,498"
5984,Mercedes-Benz,GLA,2018.0,"13,590",Automatic,,,Black,23 cty / 31 hwy,Gas,AWD,Perkasie,PA,GLA 250 4MATIC,0 reported accidents,Standard,,"27,501"
5985,BMW 7,Series,2017.0,"40,240",Automatic,,,Cognac,19 cty / 28 hwy,Gas,AWD,Perkasie,PA,740i xDrive,0 reported accidents,Standard,,"36,900"
5986,Volvo,S60,2020.0,"16,616",Automatic,,Denim Blue Metallic,Charcoal,21 cty / 32 hwy,Gas,AWD,Perkasie,PA,T6 Momentum AWD,0 reported accidents,Standard,,"31,500"
5987,BMW,X1,2016.0,"35,415",Automatic,,,Mocha,22 cty / 32 hwy,Gas,AWD,Perkasie,PA,xDrive28i AWD,0 reported accidents,Standard,,"22,800"
5988,BMW 4,Series,2018.0,"34,983",Automatic,,,Cognac/Dark Brown,21 cty / 31 hwy,Gas,AWD,Perkasie,PA,440i xDrive Coupe,0 reported accidents,Standard,,"37,000"
5989,BMW 5,Series,2017.0,"27,700",Automatic,,,,18 cty / 26 hwy,Gas,AWD,Perkasie,PA,535i xDrive Gran Turismo,0 reported accidents,Standard,,"32,991"
5990,Dodge,Charger,2020.0,"3,769",Automatic,3.6L V-6 Gas,,Black,19 cty / 30 hwy,Gas,RWD,Olathe,KS,SXT RWD,0 reported accidents,Fully Loaded,,"25,799"
5991,Ram,1500,2020.0,"3,308",Automatic,3.6L V-6 Gas,,Black,19 cty / 24 hwy,Gas,4WD,Olathe,KS,"Rebel Quad Cab 6\'4"" Box 4WD",0 reported accidents,Well Equipped,Standard Bed,"41,899"
5992,Mercedes-Benz,GLC,2019.0,"14,710",Automatic,,,Black,24 cty / 27 hwy,Gas,AWD,Perkasie,PA,GLC 350e 4MATIC,0 reported accidents,Standard,,"39,000"
5993,MINI,Clubman,2017.0,"27,499",Automatic,,,Indigo Blue,22 cty / 32 hwy,Gas,AWD,Perkasie,PA,ALL4,0 reported accidents,,,"18,300"
5994,BMW,X5,2016.0,"35,701",Automatic,,,Black,18 cty / 24 hwy,Gas,AWD,Perkasie,PA,xDrive35i AWD,0 reported accidents,Standard,,"29,991"
5995,Volvo,XC90,2020.0,"13,022",Automatic,,Onyx Black Metallic,Cream,18 cty / 26 hwy,Gas,AWD,Perkasie,PA,T6 Momentum 7 Passenger AWD,0 reported accidents,Standard,,"47,000"
5996,Acura,RDX,2019.0,"14,674",Automatic,,,Beige,21 cty / 27 hwy,Gas,AWD,Olathe,KS,,0 reported accidents,,,"36,999"
5997,Hyundai,Tucson,2017.0,"28,677",Automatic,2.0L Inline-4 Gas,Dazzling White,Gray,23 cty / 30 hwy,Gas,FWD,West Palm Beach,FL,SE FWD,0 reported accidents,Fully Loaded,,"15,367"
5998,Mercedes-Benz,E-Class,2005.0,"143,210",Automatic,,Gold,Stone,27 cty / 37 hwy,Diesel,RWD,Virgina Beach,VA,E 320 CDI Sedan RWD,0 reported accidents,Standard,,"8,995"
5999,,,,,,,,,,,FWD,,,,,,,
6000,Ram ProMaster Cargo,Van,2016.0,"109,998",Automatic,3.6L V-6 Gas,,Gray,N/A cty / N/A hwy,Gas,FWD,Fontana,CA,"1500 Low Roof 118"" WB",1 reported accidents,Standard,,"14,995"
6001,Ford,Mustang,2017.0,"32,605",Manual,,Oxford White,Ebony,21 cty / 30 hwy,Gas,RWD,Fontana,CA,EcoBoost Fastback,0 reported accidents,Standard,,"21,995"
6002,,,,,,,,,,,,,,,,,,
6003,Nissan,Frontier,2017.0,"35,241",Automatic,4.0L V-6 Gas,Glacier White,Steel,15 cty / 21 hwy,Gas,4WD,Fontana,CA,2017.5 S Crew Cab 4WD Auto,0 reported accidents,Well Equipped,Short Bed,"21,495"
6004,Ram,1500,2017.0,"22,308",Automatic,5.7L V-8 Gas,,Black,16 cty / 23 hwy,Gas,4WD,Fontana,CA,"Sport Quad Cab 6\'4"" Box 4WD",0 reported accidents,Standard,Standard Bed,"32,995"
6005,GMC,Terrain,2016.0,"83,188",Automatic,3.6L V-6 Gas,Slate Blue Metallic,Light Titanium,22 cty / 32 hwy,Gas,FWD,Fontana,CA,SLT FWD,0 reported accidents,Standard,,"12,995"
6006,Toyota,Tacoma,2019.0,"8,361",Automatic,3.5L V-6 Gas,,Cement Gray,19 cty / 24 hwy,Gas,RWD,Fontana,CA,,0 reported accidents,Standard,Short Bed,"35,895"
6007,,,,,,,,,,Gas,FWD,,,,,,,
6008,Acura,MDX,2007.0,"184,311",Automatic,3.7L V-6 Gas,,Gray,17 cty / 22 hwy,Gas,AWD,Greensboro,NC,,0 reported accidents,Standard,,"5,800"
6009,Nissan,Versa,2015.0,"171,049",Manual,1.6L Inline-4 Gas,Silver,Unknown,27 cty / 36 hwy,Gas,FWD,Greensboro,NC,Note 1.6 S Manual,2 reported accidents,Standard,,"4,500"
6010,Jeep,Wrangler,2013.0,"88,042",Automatic,3.6L V-6 Gas,Black,Black Interior,16 cty / 21 hwy,Gas,4WD,Olathe,KS,Unlimited Sport,0 reported accidents,Standard,,"23,995"
6011,Ford,Explorer,2017.0,"55,310",Automatic,3.5L V-6 Gas Turbocharged,Blue Jeans Metallic,Medium Soft Ceramic,16 cty / 22 hwy,Gas,4WD,Langhorne,PA,Platinum 4WD,0 reported accidents,Minimal Options,,"30,498"
6012,Ford,Edge,2019.0,"37,533",Automatic,,,Ebony,21 cty / 28 hwy,Gas,AWD,Langhorne,PA,Titanium AWD,0 reported accidents,Fully Loaded,,"27,998"
6013,Ford Transit Cargo,Van,2018.0,"14,173",Automatic,3.7L V-6 Gas,Oxford White,Charcoal,N/A cty / N/A hwy,Gas,RWD,Langhorne,PA,,0 reported accidents,,,"25,498"
6014,Mercedes-Benz,GLA,2018.0,"13,590",Automatic,,,Black,23 cty / 31 hwy,Gas,AWD,Perkasie,PA,GLA 250 4MATIC,0 reported accidents,Standard,,"27,501"
6015,BMW 7,Series,2017.0,"40,240",Automatic,,,Cognac,19 cty / 28 hwy,Gas,AWD,Perkasie,PA,740i xDrive,0 reported accidents,Standard,,"36,900"
6016,Volvo,S60,2020.0,"16,616",Automatic,,Denim Blue Metallic,Charcoal,21 cty / 32 hwy,Gas,AWD,Perkasie,PA,T6 Momentum AWD,0 reported accidents,Standard,,"31,500"
6017,BMW,X1,2016.0,"35,415",Automatic,,,Mocha,22 cty / 32 hwy,Gas,AWD,Perkasie,PA,xDrive28i AWD,0 reported accidents,Standard,,"22,800"
6018,BMW 4,Series,2018.0,"34,983",Automatic,,,Cognac/Dark Brown,21 cty / 31 hwy,Gas,AWD,Perkasie,PA,440i xDrive Coupe,0 reported accidents,Standard,,"37,000"
6019,BMW 5,Series,2017.0,"27,700",Automatic,,,,18 cty / 26 hwy,Gas,AWD,Perkasie,PA,535i xDrive Gran Turismo,0 reported accidents,Standard,,"32,991"
6020,Dodge,Charger,2020.0,"3,769",Automatic,3.6L V-6 Gas,,Black,19 cty / 30 hwy,Gas,RWD,Olathe,KS,SXT RWD,0 reported accidents,Fully Loaded,,"25,799"
6021,Ram,1500,2020.0,"3,308",Automatic,3.6L V-6 Gas,,Black,19 cty / 24 hwy,Gas,4WD,Olathe,KS,"Rebel Quad Cab 6\'4"" Box 4WD",0 reported accidents,Well Equipped,Standard Bed,"41,899"
6022,Mercedes-Benz,GLC,2019.0,"14,710",Automatic,,,Black,24 cty / 27 hwy,Gas,AWD,Perkasie,PA,GLC 350e 4MATIC,0 reported accidents,Standard,,"39,000"
6023,MINI,Clubman,2017.0,"27,499",Automatic,,,Indigo Blue,22 cty / 32 hwy,Gas,AWD,Perkasie,PA,ALL4,0 reported accidents,,,"18,300"
6024,BMW,X5,2016.0,"35,701",Automatic,,,Black,18 cty / 24 hwy,Gas,AWD,Perkasie,PA,xDrive35i AWD,0 reported accidents,Standard,,"29,991"
6025,Volvo,XC90,2020.0,"13,022",Automatic,,Onyx Black Metallic,Cream,18 cty / 26 hwy,Gas,AWD,Perkasie,PA,T6 Momentum 7 Passenger AWD,0 reported accidents,Standard,,"47,000"
6026,Acura,RDX,2019.0,"14,674",Automatic,,,Beige,21 cty / 27 hwy,Gas,AWD,Olathe,KS,,0 reported accidents,,,"36,999"
6027,Hyundai,Tucson,2017.0,"28,677",Automatic,2.0L Inline-4 Gas,Dazzling White,,23 cty / 30 hwy,Gas,FWD,West Palm Beach,FL,SE FWD,0 reported accidents,Fully Loaded,,"15,367"
6028,Mercedes-Benz,E-Class,2005.0,"143,210",Automatic,,Gold,Stone,27 cty / 37 hwy,Diesel,RWD,Virgina Beach,VA,E 320 CDI Sedan RWD,0 reported accidents,Standard,,"8,995"
6029,,,,,,,,,,,FWD,,,,,,,
6030,Jeep,Compass,2019.0,"8,849",Automatic,2.4L Inline-4 Gas,,Ruby Red/Black,22 cty / 30 hwy,Gas,4WD,Cincinnati,OH,Trailhawk 4WD,1 reported accidents,Minimal Options,,"23,500"
6031,Hyundai,Tucson,2019.0,"31,853",Automatic,2.0L Inline-4 Gas,Molten Silver,Gray,23 cty / 30 hwy,Gas,FWD,Franklin,TN,SE FWD,0 reported accidents,Minimal Options,,"16,799"
6032,Honda,Civic,2017.0,"40,081",Automatic,2.0L Inline-4 Gas,Crystal Black Pearl,Black,31 cty / 40 hwy,Gas,FWD,Greenwich,CT,LX Sedan CVT,0 reported accidents,Standard,,"14,700"
6033,Honda,Civic,2009.0,"129,162",Automatic,1.8L Inline-4 Gas,,Gray,25 cty / 36 hwy,Gas,FWD,Downers Grove,IL,LX Sedan Automatic,1 reported accidents,Standard,,"5,450"
6034,Lexus,RX,2016.0,"35,000",Automatic,3.5L V-6 Gas,Blue,Brown,19 cty / 26 hwy,Gas,AWD,Woodbridge,VA,RX 350 AWD,3 reported accidents,Standard,,"22,997"
6035,Nissan,Rogue,2019.0,"30,837",Automatic,2.5L Inline-4 Gas,Glacier White,Charcoal,26 cty / 33 hwy,Gas,FWD,Renton,WA,SV FWD,0 reported accidents,Standard,,"18,891"
6036,Honda,Odyssey,2005.0,"185,064",Automatic,3.5L V-6 Gas,White,Beige,20 cty / 28 hwy,Gas,FWD,Reynoldsburg,OH,,0 reported accidents,Standard,,"4,488"
6037,Mazda,CX-5,2017.0,"39,855",Automatic,2.5L Inline-4 Gas,,Black,23 cty / 29 hwy,Gas,AWD,Longwood,FL,Touring AWD,0 reported accidents,Well Equipped,,"19,980"
6038,Nissan,Altima,2019.0,"38,190",Automatic,2.5L Inline-4 Gas,Glacier White,Sport,27 cty / 37 hwy,Gas,FWD,Palmetto Bay,FL,SR FWD,0 reported accidents,Standard,,"15,998"
6039,Mercedes-Benz,C-Class,2017.0,"29,818",Automatic,,,Crystal Grey,23 cty / 30 hwy,Gas,RWD,El Cajon,CA,C 300 Sedan RWD,0 reported accidents,,,"23,995"
6040,Ford,Escape,2019.0,"23,377",Automatic,,Oxford White,Medium Light Stone,22 cty / 28 hwy,Gas,4WD,San Jose,CA,SE AWD,0 reported accidents,Standard,,"17,770"
6041,Nissan,Pathfinder,2019.0,"20,081",Automatic,3.5L V-6 Gas,,Charcoal,19 cty / 26 hwy,Gas,4WD,Columbia,MO,SL 4WD,0 reported accidents,Standard,,"26,894"
6042,Dodge,Journey,2019.0,"16,304",Automatic,3.6L V-6 Gas,,Black/Red,16 cty / 24 hwy,Gas,AWD,Colorado Springs,CO,GT AWD,1 reported accidents,Minimal Options,,"21,599"
6043,Kia,Forte,2017.0,"83,960",Automatic,2.0L Inline-4 Gas,Silky Silver,Gray,29 cty / 38 hwy,Gas,FWD,Sacramento,CA,LX Sedan Automatic,0 reported accidents,Fully Loaded,,"7,998"
6044,Honda,Civic,2017.0,"44,285",Automatic,,Sonic Gray Pearl,Black,31 cty / 40 hwy,Gas,FWD,Patchogue,NY,LX Hatchback CVT,0 reported accidents,Standard,,"15,414"
6045,GMC,Yukon,2019.0,"35,136",Automatic,5.3L V-8 Gas,Onyx Black,Jet Black,14 cty / 21 hwy,Gas,4WD,Healdsburg,CA,XL SLT 4WD,0 reported accidents,Minimal Options,,"42,988"
6046,Nissan,Sentra,2018.0,"33,540",Automatic,1.8L Inline-4 Gas,Scarlet Ember,Charcoal,29 cty / 37 hwy,Gas,FWD,Ukiah,CA,SR CVT,0 reported accidents,Minimal Options,,"12,980"
6047,Ram,1500,2015.0,"34,831",Automatic,5.7L V-8 Gas,,Diesel Gray/Black,17 cty / 25 hwy,Gas,RWD,Tinley Park,IL,,0 reported accidents,Well Equipped,Long Bed,"14,954"
6048,Nissan,Frontier,2019.0,"7,200",Automatic,4.0L V-6 Gas,,Steel,16 cty / 22 hwy,Gas,RWD,Garden City,GA,SV Crew Cab 2WD Automatic,0 reported accidents,Fully Loaded,Short Bed,"24,789"
6049,Ford,Fusion,2019.0,"5,534",Automatic,,,Medium Light Stone,20 cty / 29 hwy,Gas,AWD,Jefferson City,MO,SEL AWD,0 reported accidents,,,"22,271"
6050,Honda,Odyssey,2008.0,"214,963",Automatic,3.5L V-6 Gas,,Gray,17 cty / 25 hwy,Gas,FWD,Cedar Falls,IA,,0 reported accidents,Standard,,"3,576"
6051,Honda,Accord,2017.0,"17,437",Automatic,2.4L Inline-4 Gas,Crystal Black Pearl,Black,26 cty / 34 hwy,Gas,FWD,East Brunswick,NJ,,0 reported accidents,,,"17,704"
6052,Nissan,Sentra,2003.0,"142,600",Automatic,1.8L Inline-4 Gas,Silver,Gray,28 cty / 35 hwy,Gas,FWD,Staten Island,NY,GXE Automatic,1 reported accidents,Standard,,"1,995"
6053,Toyota,4Runner,2019.0,"26,857",Automatic,4.0L V-6 Gas,,Unknown,17 cty / 20 hwy,Gas,4WD,Cedar Park,TX,SR5 4WD,0 reported accidents,Standard,,"32,492"
6054,Honda,Accord,2012.0,"80,314",Automatic,2.4L Inline-4 Gas,Crystal Black Pearl,Black,23 cty / 34 hwy,Gas,FWD,Ft Myers,FL,SE Sedan I4 Automatic,0 reported accidents,Standard,,"8,995"
6055,Toyota,Corolla,2020.0,"6,183",Automatic,1.8L Inline-4 Gas,Super White,Black,30 cty / 38 hwy,Gas,FWD,San Antonio,TX,LE CVT,0 reported accidents,Standard,,"16,891"
6056,Hyundai,Elantra,2019.0,"17,265",Automatic,2.0L Inline-4 Gas,Machine Gray,Black,28 cty / 37 hwy,Gas,FWD,Dallas,TX,SEL 2.0L Automatic,0 reported accidents,Minimal Options,,"14,850"
6057,,,,,,,,,,Gas,AWD,,,,,,,
6058,Kia,Optima,2019.0,"8,250",Automatic,2.4L Inline-4 Gas,Sparkling Silver,Black,24 cty / 33 hwy,Gas,FWD,Concord,NH,LX,0 reported accidents,Standard,,"16,166"
6059,,,,,,,,,,Gas,FWD,,,,,,,
6060,Jeep,Compass,2019.0,"8,849",Automatic,2.4L Inline-4 Gas,,Ruby Red/Black,22 cty / 30 hwy,Gas,4WD,Cincinnati,OH,Trailhawk 4WD,1 reported accidents,Minimal Options,,"23,500"
6061,Hyundai,Tucson,2019.0,"31,853",Automatic,2.0L Inline-4 Gas,Molten Silver,Gray,23 cty / 30 hwy,Gas,FWD,Franklin,TN,SE FWD,0 reported accidents,Minimal Options,,"16,799"
6062,Honda,Civic,2017.0,"40,081",Automatic,2.0L Inline-4 Gas,Crystal Black Pearl,Black,31 cty / 40 hwy,Gas,FWD,Greenwich,CT,LX Sedan CVT,0 reported accidents,Standard,,"14,700"
6063,Honda,Civic,2009.0,"129,162",Automatic,1.8L Inline-4 Gas,,Gray,25 cty / 36 hwy,Gas,FWD,Downers Grove,IL,LX Sedan Automatic,1 reported accidents,Standard,,"5,450"
6064,Lexus,RX,2016.0,"35,000",Automatic,3.5L V-6 Gas,Blue,Brown,19 cty / 26 hwy,Gas,AWD,Woodbridge,VA,RX 350 AWD,3 reported accidents,Standard,,"22,997"
6065,Nissan,Rogue,2019.0,"30,837",Automatic,2.5L Inline-4 Gas,Glacier White,Charcoal,26 cty / 33 hwy,Gas,FWD,Renton,WA,SV FWD,0 reported accidents,Standard,,"18,891"
6066,Honda,Odyssey,2005.0,"185,064",Automatic,3.5L V-6 Gas,White,Beige,20 cty / 28 hwy,Gas,FWD,Reynoldsburg,OH,,0 reported accidents,Standard,,"4,488"
6067,Mazda,CX-5,2017.0,"39,855",Automatic,2.5L Inline-4 Gas,,Black,23 cty / 29 hwy,Gas,AWD,Longwood,FL,Touring AWD,0 reported accidents,Well Equipped,,"19,980"
6068,Nissan,Altima,2019.0,"38,190",Automatic,2.5L Inline-4 Gas,Glacier White,Sport,27 cty / 37 hwy,Gas,FWD,Palmetto Bay,FL,SR FWD,0 reported accidents,Standard,,"15,998"
6069,Mercedes-Benz,C-Class,2017.0,"29,818",Automatic,,,Crystal Grey,23 cty / 30 hwy,Gas,RWD,El Cajon,CA,C 300 Sedan RWD,0 reported accidents,,,"23,995"
6070,Ford,Escape,2019.0,"23,377",Automatic,,Oxford White,Medium Light Stone,22 cty / 28 hwy,Gas,4WD,San Jose,CA,SE AWD,0 reported accidents,Standard,,"17,770"
